,level_0,level_1,file name
44,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,file name,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json
45,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,run type,Stationary
46,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,date,2021-03-29
47,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,time,20:15:32
48,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,timeZone,unknown
49,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,duration(sec),679.014
50,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,distance (km),1.710498937611117
51,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,distance (miles),1.0628547603571554
52,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,avg speed (meters/second),2.519092297966047
53,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,avg speed (MPH),5.635048979179744
54,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max speed (meters/second),2.701583556068619
55,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max speed (MPH),6.043270297037144
56,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,calories,132
57,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,avg HR,142
58,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max HR,181
59,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,elevation gain,0
60,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,elevation loss,0
61,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,min elevation,0
62,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max elevation,0
63,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,avg cadence,85
64,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max cadence,93
65,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,steps,1914
66,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,file name,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json
67,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,run type,Stationary
68,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,date,2021-04-02
69,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,time,18:48:35
70,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,timeZone,unknown
71,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,duration(sec),1253.344
72,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,distance (km),3.236084934840092
73,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,distance (miles),2.0108099469026604
74,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,avg speed (meters/second),2.581960686643166
75,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,avg speed (MPH),5.775681559305416
76,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,max speed (meters/second),3.997747606357115
77,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,max speed (MPH),8.942706698920865
78,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,calories,243
79,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,avg HR,145
80,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,max HR,153
81,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,elevation gain,0
82,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,elevation loss,0
83,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,min elevation,0
84,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,max elevation,0
85,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,avg cadence,87
86,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,max cadence,1935
87,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,steps,3629
88,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,file name,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json
89,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,run type,Outdoors/Mobile
90,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,date,2021-04-04
91,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,time,14:16:33
92,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,timeZone,America/Chicago
93,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,duration(sec),2384.91
94,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,distance (km),5.643341195542941
95,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,distance (miles),3.5066096342505397
96,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,avg speed (meters/second),2.366270087987782
97,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,avg speed (MPH),5.2931954317613625
98,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,max speed (meters/second),2.879881133642659
99,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,max speed (MPH),6.442110618731603
100,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,calories,486
101,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,avg HR,147
102,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,max HR,188
103,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,elevation gain,72
104,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,elevation loss,84
105,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,min elevation,393
106,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,max elevation,421
107,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,avg cadence,85
108,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,max cadence,172
109,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,steps,6762
110,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,file name,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json
111,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,run type,Stationary
112,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,date,2021-04-07
113,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,time,19:50:58
114,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,timeZone,unknown
115,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,duration(sec),1241.564
116,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,distance (km),2.910208673517446
117,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,distance (miles),1.808319826611857
118,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,avg speed (meters/second),2.343986031744997
119,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,avg speed (MPH),5.243347417663476
120,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,max speed (meters/second),2.59722133809197
121,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,max speed (MPH),5.809818664340288
122,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,calories,220
123,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,avg HR,141
124,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,max HR,157
125,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,elevation gain,0
126,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,elevation loss,0
127,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,min elevation,0
128,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,max elevation,0
129,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,avg cadence,86
130,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,max cadence,131
131,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,steps,3546
